name,state,FDR,A1,A2,A3,B1,B2,B3
GENE-2380,YES,0,143,120,91,68,43,40
GENE-2414,YES,0,2,1,6,100,83,73
GENE-2466,YES,0,64,82,76,312,318,216
GENE-2496,YES,0,29,21,27,42,39,38
GENE-2596,YES,0,91,124,96,180,141,109
GENE-2765,YES,0,326,281,360,35,33,36
GENE-2783,YES,0,284,210,153,431,478,682
GENE-2851,YES,0,94,91,88,166,232,191
GENE-2862,YES,0,2084,1995,2362,1015,1855,2905
GENE-2924,YES,0,438,375,282,114,80,174
GENE-2938,YES,0,138,142,162,504,458,409
GENE-2964,YES,0,987,1283,726,1699,1457,1162
GENE-3009,YES,0,1530,1562,1371,558,563,434
GENE-3107,YES,0,6,7,3,122,49,24
GENE-3384,YES,0,828,903,994,3382,2297,2955
GENE-3489,YES,0,168,204,212,536,519,476
GENE-3653,YES,0,40,55,67,46,66,51
GENE-3693,YES,0,123,131,122,324,335,309
GENE-3867,YES,0,229,300,309,233,239,258
GENE-3943,YES,0,4102,3107,4338,429,452,417
GENE-3983,YES,0,2263,1659,2044,2415,3096,1945
GENE-4030,YES,0,298,107,219,95,220,217
GENE-4101,YES,0,16,13,22,11,4,6
GENE-4185,YES,0,597,699,395,632,438,525
GENE-4198,YES,0,108,128,71,929,883,703
GENE-4286,YES,0,4299,5220,3922,898,878,842
GENE-4299,YES,0,169,416,391,35,26,23
GENE-4364,YES,0,515,583,632,751,600,465
GENE-4458,YES,0,1916,1535,2077,1483,2853,1443
GENE-4464,YES,0,4,16,5,31,11,50
GENE-4646,YES,0,628,647,576,196,165,149
GENE-4819,YES,0,3292,3670,2382,127,145,192
GENE-4869,YES,0,51,43,30,36,28,43
GENE-4883,YES,0,4457,4284,4461,597,642,637
GENE-4912,YES,0,5,12,5,57,38,50
GENE-5019,YES,0,343,387,265,1573,2266,2040
GENE-5033,YES,0,522,410,393,752,503,589
GENE-5065,YES,0,261,167,211,62,35,54
GENE-5120,YES,0,800,1226,1213,3797,3582,3512
GENE-5251,YES,0,460,389,479,98,109,139
GENE-5331,YES,0,40,25,27,3,0,1
GENE-5336,YES,0,37,43,39,6,9,7
GENE-5458,YES,0,4990,2568,4293,6502,7721,7479
GENE-5615,YES,0,2047,2477,2312,1063,1135,1546
GENE-5659,YES,0,22,27,31,14,26,13
GENE-5722,YES,0,34,49,35,995,1054,1117
GENE-5782,YES,0,577,537,462,579,707,823
GENE-5959,YES,0,10,8,8,52,51,37
GENE-6156,YES,0,335,180,174,526,272,520
GENE-6174,YES,0,9,14,14,30,39,31
GENE-6226,YES,0,50,43,34,7,9,7
GENE-6261,YES,0,5333,6231,5220,296,308,259
GENE-6434,YES,0,77,49,50,93,92,100
GENE-6566,YES,0,47,44,49,44,46,30
GENE-6586,YES,0,161,179,307,509,3359,2176
GENE-6639,YES,0,224,170,198,616,630,733
GENE-7039,YES,0,326,311,472,246,195,304
GENE-7106,YES,0,2065,3115,3013,2455,2363,2729
GENE-7258,YES,0,7,12,8,17,15,17
GENE-7390,YES,0,982,1083,1006,199,189,162
GENE-7464,YES,0,1605,1834,2020,2014,2331,2156
GENE-7497,YES,0,23,12,12,7,3,8
GENE-7620,YES,0,753,706,773,189,203,171
GENE-7627,YES,0,534,536,528,1079,1050,955
GENE-7658,YES,0,19,11,26,9,6,9
GENE-7726,YES,0,1188,878,340,106,65,124
GENE-7768,YES,0,17,30,20,30,20,29
GENE-7820,YES,0,35,37,36,103,114,82
GENE-7852,YES,0,2195,2731,2417,5594,5262,5365
GENE-7877,YES,0,12,6,14,66,73,79
GENE-7885,YES,0,987,1044,844,45,36,25
GENE-7895,YES,0,26,27,21,34,13,24
GENE-7920,YES,0,12,23,24,17,26,7
GENE-7934,YES,0,13,14,21,15,14,10
GENE-7979,YES,0,1,5,2,21,17,15
GENE-8028,YES,0,69,54,71,374,525,646
GENE-8100,YES,0,93,55,57,139,100,94
GENE-8140,YES,0,3,0,3,31,28,40
GENE-8148,YES,0,5523,4008,4283,1330,1238,1022
GENE-8171,YES,0,64,46,57,11,18,16
GENE-8189,YES,0,57,53,89,1578,2108,2594
GENE-8246,YES,0,330,244,284,2639,3361,3600
GENE-8356,YES,0,377,357,478,35,39,55
GENE-8416,YES,0,268,288,328,1960,1844,1608
GENE-8562,YES,0,18,20,34,123,98,101
GENE-8805,YES,0,77,128,81,49,55,58
GENE-8985,YES,0,47,36,27,22,20,23
GENE-9037,YES,0,102,107,94,436,419,425
GENE-9042,YES,0,169,204,198,75,43,35
GENE-9083,YES,0,41,32,47,13,13,13
GENE-9153,YES,0,30,31,25,12,12,13
GENE-9188,YES,0,17,23,14,4,4,9
GENE-9198,YES,0,74,84,52,1,0,0
GENE-9236,YES,0,33,40,24,9,12,9
GENE-9244,YES,0,6,11,9,25,38,29
GENE-9287,YES,0,55,61,337,38,11,20
GENE-9340,YES,0,1134,1637,1865,2260,5128,2542
GENE-9379,YES,0,132,117,167,73,80,76
GENE-9429,YES,0,45,72,39,62,105,57
GENE-9467,YES,0,11,12,15,42,46,36
GENE-9535,YES,0,1221,1041,1028,1480,1812,1821
GENE-9571,YES,0,65,86,86,295,375,252
GENE-9638,YES,0,6,8,7,213,90,47
GENE-9688,YES,0,31,25,46,107,134,150
GENE-9815,YES,0,16,21,15,6,3,2
GENE-9864,YES,0,42,32,30,24,29,25
GENE-9972,YES,0,176,160,262,187,165,189
GENE-10288,YES,0,3135,3108,3484,130,137,172
GENE-10299,YES,0,216,158,143,1522,1112,1032
GENE-10407,YES,0,40,55,63,17,21,22
GENE-10410,YES,0,2683,2017,1648,1777,1723,1465
GENE-10781,YES,0,545,317,403,260,251,251
GENE-10914,YES,0,1550,1043,912,200,166,223
GENE-11273,YES,0,5,3,2,43,47,49
GENE-11408,YES,0,373,498,436,3147,5797,4628
GENE-11663,YES,0,62,82,90,48,72,96
GENE-11825,YES,0,205,229,212,251,237,174
GENE-11842,YES,0,63,47,69,443,291,388
GENE-12199,YES,0,975,867,1021,315,260,361
GENE-12456,YES,0,78,76,85,795,1222,1094
GENE-12573,YES,0,13,11,12,10,11,11
GENE-12601,YES,0,14,12,10,9,10,14
GENE-12610,YES,0,314,354,225,73,66,96
GENE-12650,YES,0,159,207,212,108,119,83
GENE-12715,YES,0,102,55,86,53,47,39
GENE-12724,YES,0,609,594,657,340,326,194
GENE-12807,YES,0,1159,894,1593,273,453,300
GENE-12910,YES,0,115,197,290,59,45,80
GENE-12940,YES,0,130,136,142,255,204,140
GENE-12946,YES,0,2191,2274,2413,1211,1192,1120
GENE-12956,YES,0,507,843,849,497,393,396
GENE-13024,YES,0,98,224,188,886,623,971
GENE-13063,YES,0,727,696,795,185,205,187
GENE-13165,YES,0,26,32,35,123,111,106
GENE-13279,YES,0,141,144,153,143,129,115
GENE-13376,YES,0,126,68,100,71,97,70
GENE-13392,YES,0,127,551,693,1,326,4
GENE-13435,YES,0,146,99,115,17,18,18
GENE-13442,YES,0,41,24,44,0,1,1
GENE-13534,YES,0,73,94,67,310,277,286
GENE-13580,YES,0,48,44,29,37,40,42
GENE-13744,YES,0,537,475,510,2939,2727,3045
GENE-13844,YES,0,19,43,2,74,99,61
GENE-13963,YES,0,283,298,332,82,130,88
GENE-13997,YES,0,151,263,176,54,86,64
GENE-14136,YES,0,21,24,17,3,3,5
GENE-14139,YES,0,502,545,665,917,995,967
GENE-14235,YES,0,18,17,16,7,5,6
GENE-14249,YES,0,480,630,375,159,78,80
GENE-14399,YES,0,92,63,97,297,144,199
GENE-14470,YES,0,50,54,40,82,98,118
GENE-14496,YES,0,33,19,47,64,65,70
GENE-14499,YES,0,861,916,954,386,479,444
GENE-14728,YES,0,237,158,196,236,380,249
GENE-14819,YES,0,130,163,209,116,104,100
GENE-14914,YES,0,48,49,48,11,5,10
GENE-14969,YES,0,17,9,6,46,39,50
GENE-15161,YES,0,107,145,125,54,44,44
GENE-15177,YES,0,48,52,39,395,374,347
GENE-15220,YES,0,105,242,199,204,418,345
GENE-15223,YES,0,94,70,110,40,37,38
GENE-15252,YES,0,601,679,501,433,655,591
GENE-15350,YES,0,47,60,100,516,605,572
GENE-15425,YES,0,84,72,57,79,90,104
GENE-15532,YES,0,668,608,684,44,43,49
GENE-15666,YES,0,519,493,432,121,95,76
GENE-15726,YES,0,31,28,32,39,34,48
GENE-15780,YES,0,29,48,14,2,0,0
GENE-15816,YES,0,180,161,180,919,834,844
GENE-15976,YES,0,657,922,778,1757,1670,1452
GENE-16002,YES,0,306,380,430,347,396,463
GENE-16025,YES,0,279,176,386,336,149,176
GENE-16153,YES,0,100,105,73,163,183,160
GENE-16234,YES,0,32,41,39,36,43,58
GENE-16248,YES,0,214,226,213,1153,1389,1460
GENE-16251,YES,0,53,37,67,17,27,26
GENE-16330,YES,0,334,198,116,445,332,175
GENE-16432,YES,0,305,344,321,8929,5073,4882
GENE-16476,YES,0,24,33,26,4,1,2
GENE-16497,YES,0,116,133,140,199,158,155
GENE-16530,YES,0,255,330,287,47,51,47
GENE-16551,YES,0,152,116,175,190,191,231
GENE-16582,YES,0,1148,1180,1262,2488,1773,1531
GENE-16879,YES,0,131,174,153,241,225,260
GENE-17097,YES,0,49,46,58,9,12,4
GENE-17185,YES,0,236,267,278,143,132,154
GENE-17411,YES,0,10,15,6,20,27,35
GENE-17541,YES,0,1297,1721,364,48,36,195
GENE-17568,YES,0,26,30,22,35,45,40
GENE-17697,YES,0,36,41,83,4,2,1
GENE-17702,YES,0,5913,4506,5887,4997,5535,4655
GENE-17792,YES,0,625,614,574,1646,1709,1647
GENE-17822,YES,0,765,794,728,15,31,16
GENE-18128,YES,0,3429,1905,2594,80,87,47
GENE-18170,YES,0,32,2,27,24,28,28
GENE-18214,YES,0,274,312,297,3633,4653,3488
GENE-18300,YES,0,32,43,34,8,5,7
GENE-18399,YES,0,55,58,31,398,348,331
GENE-18441,YES,0,1,5,5,96,79,97
GENE-18666,YES,0,106,105,70,43,41,32
GENE-18763,YES,0,1100,672,736,2016,1653,1695
GENE-18833,YES,0,143,144,150,25,24,31
GENE-18903,YES,0,301,444,575,59,73,67
GENE-18997,YES,0,266,308,185,538,976,598
GENE-19035,YES,0,1045,1210,741,1542,1597,1438
GENE-19144,YES,0,29,38,39,31,37,35
GENE-19274,YES,0,677,503,301,87,80,54
GENE-19358,YES,0,59,23,29,24,15,20
GENE-19412,YES,0,459,443,540,2130,2001,2009
GENE-19565,YES,0,163,115,266,73,48,31
GENE-19757,YES,0,16,27,24,18,20,10
GENE-1,NO,1,0,0,2,1,1,1
GENE-2,NO,1,17,21,74,65,84,31
GENE-3,NO,1,68,86,69,111,63,84
GENE-4,NO,1,0,0,0,0,0,0
GENE-5,NO,1,161,185,211,190,263,199
GENE-6,NO,1,0,0,0,0,0,0
GENE-7,NO,1,0,0,0,0,0,0
GENE-8,NO,1,0,0,0,0,0,0
GENE-9,NO,1,0,0,0,0,0,0
GENE-10,NO,1,36,40,35,52,32,38
GENE-11,NO,1,0,0,0,0,0,0
GENE-12,NO,1,0,0,0,0,0,0
GENE-13,NO,1,0,1,1,0,1,1
GENE-14,NO,1,0,0,0,0,0,0
GENE-15,NO,1,0,0,0,0,0,0
GENE-16,NO,1,922,1010,1231,796,1329,1110
GENE-17,NO,1,0,0,0,0,0,0
GENE-18,NO,1,0,0,0,0,0,0
GENE-19,NO,1,0,0,0,0,0,0
GENE-20,NO,1,530,499,465,428,547,453
GENE-21,NO,1,291,365,380,309,274,296
GENE-22,NO,1,0,0,0,0,0,0
GENE-23,NO,1,0,0,0,0,0,0
GENE-24,NO,1,2,2,3,2,4,1
GENE-25,NO,1,114,76,63,102,69,116
GENE-26,NO,1,0,0,0,0,0,0
GENE-27,NO,1,0,3,1,0,1,3
GENE-28,NO,1,5,4,10,4,3,4
GENE-29,NO,1,0,0,0,0,0,0
GENE-30,NO,1,0,0,0,0,0,0
GENE-31,NO,1,0,0,0,0,0,0
GENE-32,NO,1,0,0,0,0,0,0
GENE-33,NO,1,0,0,0,0,0,0
GENE-34,NO,1,0,0,0,0,0,0
GENE-35,NO,1,0,0,0,0,0,0
GENE-36,NO,1,0,0,0,0,0,1
GENE-37,NO,1,0,0,0,0,0,0
GENE-38,NO,1,0,0,0,0,0,0
GENE-39,NO,1,0,0,0,0,0,0
GENE-40,NO,1,8,1,2,5,4,3
GENE-41,NO,1,9,10,11,16,10,11
GENE-42,NO,1,7,7,5,12,8,11
GENE-43,NO,1,0,0,0,0,0,0
GENE-44,NO,1,0,0,0,0,0,0
GENE-45,NO,1,662,789,903,642,735,659
GENE-46,NO,1,0,0,0,0,0,0
GENE-47,NO,1,7,9,9,13,7,12
GENE-48,NO,1,1665,1688,1916,1839,1739,2206
GENE-50,NO,1,8,8,11,5,4,3
GENE-51,NO,1,0,4,2,0,3,5
GENE-52,NO,1,0,0,0,0,0,0
GENE-53,NO,1,0,0,0,0,0,0
GENE-54,NO,1,188,192,232,247,275,230
GENE-55,NO,1,5,10,3,4,5,5
GENE-56,YES,1,0,0,0,0,0,0
GENE-57,NO,1,0,0,0,0,0,0
GENE-58,NO,1,0,0,0,0,0,0
GENE-59,NO,1,261,255,242,212,227,254
GENE-60,NO,1,0,0,0,0,0,0
GENE-61,NO,1,0,0,0,0,0,0
GENE-62,NO,1,0,0,0,0,0,0
GENE-63,NO,1,32,58,40,38,41,28
GENE-64,NO,1,0,0,1,0,0,0
GENE-65,NO,1,0,0,0,0,0,0
GENE-66,NO,1,0,0,0,0,0,0
GENE-67,NO,1,2,0,1,2,1,0
GENE-68,NO,1,0,0,0,0,0,0
GENE-69,NO,1,0,0,0,0,0,0
GENE-70,NO,1,3,4,0,0,4,6
GENE-71,NO,1,0,0,0,0,0,0
GENE-72,NO,1,0,0,0,0,0,0
GENE-73,NO,1,0,0,0,0,0,0
GENE-74,NO,1,0,0,0,0,0,0
GENE-75,NO,1,0,0,0,0,0,0
GENE-76,NO,1,0,0,0,0,0,0
GENE-77,NO,1,0,0,0,0,0,0
GENE-78,NO,1,407,401,477,433,466,376
GENE-79,NO,1,0,0,0,0,0,0
GENE-80,NO,1,0,0,0,0,0,0
GENE-81,NO,1,179,178,231,181,217,161
GENE-82,NO,1,395,419,340,406,519,373
GENE-83,NO,1,0,0,0,0,0,0
GENE-84,NO,1,0,0,0,0,0,0
GENE-85,NO,1,4,9,4,6,5,6
GENE-86,NO,1,2,1,0,0,2,2
GENE-87,NO,1,0,0,0,0,0,0
GENE-88,NO,1,0,0,0,0,0,0
GENE-89,NO,1,0,0,0,0,0,0
GENE-90,NO,1,0,0,0,0,0,0
GENE-91,NO,1,0,0,0,0,0,0
GENE-92,NO,1,349,414,421,492,486,280
GENE-93,NO,1,0,1,0,1,1,1
GENE-94,NO,1,32,31,19,15,22,11
GENE-95,NO,1,6,34,565,3,576,92
GENE-96,NO,1,0,0,0,0,0,0
GENE-97,NO,1,14,17,35,48,22,31
GENE-98,YES,1,0,0,0,0,0,0
GENE-99,NO,1,21,26,17,33,38,27
GENE-100,NO,1,470,330,304,461,341,343
GENE-101,NO,1,23,11,18,23,6,12
GENE-102,NO,1,0,0,0,0,0,0
GENE-103,NO,1,64,64,64,73,38,52
GENE-104,NO,1,0,1,1,0,0,0
GENE-105,NO,1,498,414,483,457,483,477
GENE-106,NO,1,0,0,0,0,0,0
GENE-108,NO,1,0,0,0,0,0,0
GENE-109,NO,1,0,0,0,0,0,0
GENE-110,NO,1,0,0,0,0,0,0
GENE-111,NO,1,66,74,53,64,85,91
GENE-112,NO,1,0,0,0,0,0,0
GENE-113,NO,1,0,0,0,0,0,0
GENE-114,NO,1,0,0,0,0,0,0
GENE-115,NO,1,0,0,0,0,0,0
GENE-116,NO,1,7,8,7,8,10,5
GENE-117,YES,1,0,0,0,0,0,0
GENE-118,NO,1,932,859,661,717,735,734
GENE-119,NO,1,0,0,0,0,0,0
GENE-120,NO,1,0,0,0,0,0,0
GENE-121,NO,1,0,0,0,0,0,0
GENE-122,NO,1,61,61,57,48,55,52
GENE-123,NO,1,0,0,0,0,0,0
GENE-124,NO,1,0,0,0,0,0,0
GENE-125,NO,1,0,0,0,0,0,0
GENE-126,NO,1,0,0,0,0,0,0
GENE-127,NO,1,0,0,0,0,0,0
GENE-128,NO,1,0,0,0,0,0,0
GENE-129,NO,1,0,0,0,0,0,0
GENE-130,NO,1,3555,3382,3761,3037,3315,3802
GENE-131,NO,1,0,0,0,0,0,0
GENE-132,NO,1,0,0,0,0,0,0
GENE-133,NO,1,0,0,0,0,0,0
GENE-134,NO,1,1,0,1,0,0,1
GENE-135,NO,1,0,0,0,0,0,0
GENE-136,NO,1,8,6,15,7,8,10
GENE-137,NO,1,0,0,0,0,0,0
GENE-138,NO,1,0,0,0,0,0,0
GENE-139,NO,1,0,0,0,0,0,0
GENE-140,NO,1,0,0,0,0,0,0
GENE-141,NO,1,0,0,0,0,0,0
GENE-142,NO,1,0,0,0,0,0,0
GENE-143,NO,1,449,632,747,538,581,534
GENE-144,NO,1,18,31,12,7,25,10
GENE-145,NO,1,29,11,24,41,25,22
GENE-146,NO,1,0,0,0,0,0,0
GENE-147,NO,1,51,10,65,16,16,66
GENE-148,NO,1,0,0,0,0,0,0
GENE-149,NO,1,225,273,352,297,314,298
GENE-150,NO,1,22,25,27,25,9,23
GENE-151,NO,1,9,12,7,9,9,18
GENE-152,NO,1,104,109,97,85,94,81
GENE-153,NO,1,0,0,0,0,1,1
GENE-154,NO,1,0,0,0,0,0,0
GENE-155,NO,1,0,0,0,0,0,0
GENE-156,NO,1,0,0,0,0,0,0
GENE-157,NO,1,0,0,0,0,0,0
GENE-158,NO,1,0,0,0,0,0,0
GENE-159,NO,1,0,0,0,0,0,0
GENE-160,NO,1,0,0,0,0,0,0
GENE-161,NO,1,55,58,61,96,52,77
GENE-162,NO,1,0,0,0,0,0,0
GENE-163,NO,1,0,0,0,0,0,0
GENE-164,NO,1,151,178,186,147,140,139
GENE-165,NO,1,0,0,0,0,0,0
GENE-166,NO,1,744,744,581,669,686,549
GENE-167,NO,1,1,2,0,0,0,1
GENE-168,NO,1,0,0,0,0,0,0
GENE-169,NO,1,0,0,0,0,0,1
GENE-170,NO,1,0,0,0,0,0,0
GENE-171,NO,1,0,0,0,0,0,0
GENE-172,NO,1,0,0,0,0,0,0
GENE-173,NO,1,0,1,1,1,0,0
GENE-174,NO,1,0,0,0,0,0,0
GENE-175,NO,1,0,0,0,0,0,0
GENE-176,NO,1,29,35,25,29,45,20
GENE-177,NO,1,0,0,0,0,0,0
GENE-178,NO,1,23,34,37,34,30,29
GENE-179,NO,1,0,0,0,0,0,0
GENE-180,NO,1,0,2,0,0,0,0
GENE-181,NO,1,19,15,24,38,42,79
GENE-182,NO,1,0,1,10,1,0,3
GENE-183,NO,1,0,0,0,0,0,0
GENE-184,NO,1,19,12,17,13,24,19
GENE-185,NO,1,0,0,0,0,0,0
GENE-186,NO,1,0,0,0,0,0,0
GENE-187,NO,1,2275,2347,2765,2590,2905,2502
GENE-188,NO,1,2,2,3,1,5,3
GENE-189,NO,1,0,0,0,0,0,0
GENE-190,NO,1,0,0,0,0,0,0
GENE-191,NO,1,0,0,0,0,0,0
GENE-192,NO,1,0,0,0,0,0,0
GENE-193,NO,1,0,0,0,0,0,0
GENE-194,NO,1,2,8,4,5,7,5
GENE-195,NO,1,79,122,125,121,73,121
GENE-196,NO,1,12,9,14,7,7,20
GENE-197,NO,1,18,10,16,8,22,18
GENE-198,NO,1,0,0,0,0,0,0
GENE-199,NO,1,49,15,34,8,59,3
GENE-200,NO,1,2227,2939,1982,1915,2949,1877
GENE-201,NO,1,0,0,0,0,0,0
GENE-202,NO,1,0,0,0,0,0,0
GENE-203,NO,1,0,0,0,0,0,0
GENE-204,NO,1,0,0,0,0,0,0
GENE-205,NO,1,0,0,0,0,0,0
GENE-206,NO,1,0,0,0,0,0,0
GENE-207,NO,1,0,0,0,0,0,0
GENE-208,NO,1,577,522,510,589,509,556
GENE-209,NO,1,0,0,0,0,0,0
GENE-210,NO,1,0,0,0,0,0,0
GENE-212,NO,1,1,1,2,2,0,1
GENE-213,NO,1,975,400,626,379,437,388
GENE-214,NO,1,114,230,86,112,160,139
GENE-215,NO,1,0,0,0,0,0,0
GENE-216,NO,1,20,22,16,17,20,23
GENE-217,NO,1,194,160,186,147,220,123
GENE-218,NO,1,4,8,15,5,3,14
GENE-219,NO,1,0,0,0,0,0,0
GENE-220,NO,1,0,0,0,0,0,0
GENE-221,NO,1,0,0,0,0,0,0
GENE-222,NO,1,0,0,0,0,0,0
GENE-223,NO,1,0,0,0,0,0,0
GENE-224,NO,1,0,0,0,0,0,0
GENE-225,NO,1,36,30,38,40,27,42
GENE-226,NO,1,0,0,0,0,0,0
GENE-227,NO,1,0,0,0,0,0,0
GENE-228,NO,1,0,0,0,0,0,0
GENE-229,NO,1,886,125,345,1269,2482,455
GENE-230,NO,1,0,0,0,1,0,0
GENE-231,NO,1,0,0,0,0,0,0
GENE-232,NO,1,0,0,0,0,0,0
GENE-234,NO,1,3,1,3,1,4,5
GENE-235,NO,1,345,385,308,360,413,439
GENE-236,NO,1,1011,1735,1286,1437,1246,1547
GENE-237,NO,1,0,0,0,0,0,0
GENE-238,NO,1,0,0,0,0,0,0
GENE-239,NO,1,0,0,0,0,0,0
GENE-240,NO,1,0,0,0,0,0,0
GENE-241,NO,1,0,0,0,0,0,0
GENE-242,NO,1,0,0,0,0,0,0
GENE-243,NO,1,0,0,0,0,0,0
GENE-244,NO,1,0,0,0,0,0,0
GENE-245,NO,1,0,1,0,0,0,0
GENE-246,NO,1,0,0,0,0,0,0
GENE-247,NO,1,0,0,0,0,0,0
GENE-248,NO,1,49,39,47,33,61,67
GENE-249,NO,1,1513,1959,1447,1770,1691,1446
GENE-250,NO,1,0,0,0,0,0,0
GENE-251,NO,1,0,0,0,0,0,0
GENE-252,NO,1,8,6,22,36,2,92
GENE-253,NO,1,0,0,0,0,0,0
GENE-254,NO,1,0,0,0,0,0,0
GENE-255,NO,1,0,0,0,0,0,0
GENE-256,NO,1,0,0,0,0,0,0
GENE-257,NO,1,2690,2348,2782,2812,2611,2582
GENE-258,NO,1,214,162,289,130,286,88
GENE-259,NO,1,0,0,0,0,0,0
GENE-260,YES,1,0,0,0,0,0,0
GENE-261,NO,1,0,0,0,0,0,0
GENE-262,NO,1,14,15,15,12,19,10
GENE-263,NO,1,22,18,22,14,15,24
GENE-264,NO,1,0,0,0,0,0,0
GENE-265,NO,1,0,0,0,0,0,0
GENE-266,NO,1,543,545,546,719,537,569
GENE-267,YES,1,0,0,0,0,0,0
GENE-268,NO,1,2,5,2,0,4,2
GENE-269,NO,1,0,0,0,0,0,0
GENE-270,NO,1,0,0,0,0,0,0
GENE-271,NO,1,2230,3109,2522,2369,1905,1885
GENE-272,NO,1,0,0,0,0,0,0
GENE-273,NO,1,0,0,0,0,0,0
GENE-274,NO,1,14,18,12,20,14,21
GENE-275,NO,1,0,0,0,0,0,0
GENE-276,YES,1,2,7,2,9,16,13
GENE-277,NO,1,0,0,0,0,0,0
GENE-278,NO,1,338,288,292,185,207,234
GENE-279,NO,1,0,0,0,0,0,0
GENE-280,NO,1,0,0,0,0,0,0
GENE-281,NO,1,0,0,0,0,0,0
GENE-282,NO,1,0,0,0,0,0,0
GENE-283,NO,1,0,0,0,0,0,0
GENE-284,NO,1,443,389,419,387,399,447
GENE-285,YES,1,0,0,0,0,0,0
GENE-286,NO,1,0,0,0,0,0,0
GENE-287,NO,1,0,0,0,0,0,0
GENE-288,NO,1,0,0,0,0,0,0
GENE-289,NO,1,251,339,446,345,437,315
GENE-290,NO,1,96,40,65,65,111,33
GENE-291,NO,1,0,0,0,0,0,0
GENE-292,NO,1,385,496,551,457,394,379
GENE-293,YES,1,0,0,0,0,0,0
GENE-294,NO,1,1,2,0,1,1,2
GENE-295,NO,1,0,0,0,0,0,0
GENE-296,NO,1,417,383,506,448,339,498
GENE-297,NO,1,96,109,104,121,95,97
GENE-298,NO,1,355,392,322,340,343,325
GENE-299,NO,1,0,0,0,0,0,0
GENE-300,NO,1,0,0,0,0,0,0
GENE-301,NO,1,0,0,0,0,0,0
GENE-302,NO,1,0,0,0,0,0,0
GENE-303,NO,1,0,0,0,0,0,0
GENE-304,NO,1,178,144,180,182,159,203
GENE-305,NO,1,0,0,0,0,0,0
GENE-306,NO,1,115,168,149,204,149,190
GENE-307,NO,1,114,285,726,430,523,1010
GENE-308,NO,1,596,625,528,636,506,493
GENE-309,NO,1,0,0,0,0,0,0
GENE-310,NO,1,0,0,0,0,0,0
GENE-311,NO,1,0,0,0,0,0,0
GENE-312,NO,1,30,35,31,45,38,36
GENE-313,NO,1,574,562,712,799,813,612
GENE-314,NO,1,0,0,0,0,0,0
GENE-315,NO,1,0,0,0,0,0,0
GENE-316,NO,1,8,7,5,3,10,8
GENE-317,NO,1,0,0,0,0,0,0
GENE-318,NO,1,0,0,0,0,0,0
GENE-319,NO,1,1,0,0,2,1,1
GENE-320,NO,1,0,0,0,0,0,0
GENE-321,NO,1,0,0,0,0,0,0
GENE-322,NO,1,0,0,0,0,0,0
GENE-323,NO,1,0,0,0,0,0,0
GENE-324,NO,1,0,0,0,0,0,0
GENE-325,NO,1,0,0,0,0,0,0
GENE-326,NO,1,0,0,0,0,0,0
GENE-327,NO,1,0,0,0,0,0,0
GENE-328,NO,1,0,0,0,0,0,0
